atsu.edu|A.T. Still University of Health Sciences|AZ / MO
ccga.edu|College of Coastal Georgia|GA
holycross.edu|College of the Holy Cross|MA
collegeofidaho.edu|The College of Idaho|ID
menominee.edu|College of the Menominee Nation|WI
msj.edu|College of Mount Saint Joseph|OH
mountsaintvincent.edu|College of Mount Saint Vincent|NY
tcnj.edu|The College of New Jersey|NJ
cnr.edu|College of New Rochelle|NY
ndm.edu|College of Notre Dame of Maryland|MD
cofo.edu|College of the Ozarks|MO
csbsju.edu|College of Saint Benedict|MN
cse.edu|College of Saint Elizabeth|NJ
strose.edu|College of Saint Rose|NY
csj.edu|College of Saint Joseph|VT
csm.edu|College of Saint Mary|NE
css.edu|College of Saint Scholastica|MN
fishermore.edu|College of Saints John Fisher & Thomas More|TX
csn.edu|College of Southern Nevada|NV
cva.edu|College of Visual Arts |MN
wm.edu|College of William and Mary|VA
wooster.edu|College of Wooster|OH
ccu.edu|Colorado Christian University|CO
coloradocollege.edu|Colorado College|CO
coloradomesa.edu|Colorado Mesa University|CO
mines.edu|Colorado School of Mines|CO
colostate.edu|Colorado State University|CO
colostate-pueblo.edu|Colorado State University-Pueblo|CO
coloradotech.edu|Colorado Technical University|CO
columbiaco.edu|Columbia Centro Universitario|PR
ccis.edu|Columbia College|MO
columbiasc.edu|Columbia College|SC
colum.edu|Columbia College Chicago|IL
ccon.edu|Columbia College of Nursing|WI
ciu.edu|Columbia International University|SC
ctsnet.edu|Columbia Theological Seminary|GA
columbia.edu|Columbia University|NY
ccad.edu|Columbus College of Art & Design|OH
columbusstate.edu|Columbus State University|GA
conception.edu|Conception Seminary College|MO
concord.edu|Concord University|WV
ccal.edu|Concordia College-Alabama|AL
concordia-ny.edu|Concordia College-Bronxville|NY
concordiacollege.edu|Concordia College-Moorhead|MN
concordia-ny.edu|Concordia College-New York|NY
csl.edu|Concordia Seminary-Saint Louis|MO
ctsfw.edu|Concordia Theological Seminary|IN
cuaa.edu|Concordia University-Ann Arbor|MI
cuchicago.edu|Concordia University-Chicago|IL
cui.edu|Concordia University-Irvine|CA
cune.edu|Concordia University-Nebraska|NE
cu-portland.edu|Concordia University-Portland|OR
csp.edu|Concordia University-Saint Paul|MN
concordia.edu|Concordia University-Texas|TX
cuw.edu|Concordia University-Wisconsin|WI
camel.conncoll.edu|Connecticut College|CT
cmpr.edu|Conservatorio de M&uacute;sica de Puerto Rico|PR
converse.edu|Converse College|SC
csld.edu|Conway School of Landscape Design|MA
cooper.edu|The Cooper Union for the Advancement of Science & Art|NY
coppin.edu|Coppin State University|MD
corban.edu|Corban University|OR
corcoran.edu|Corcoran College of Art & Design|DC
cornellcollege.edu|Cornell College|IA
cornell.edu|Cornell University|NY
cornerstone.edu|Cornerstone University|MI
cornish.edu|Cornish College of the Arts|WA
covenant.edu|Covenant College|GA
covenantseminary.edu|Covenant Theological Seminary|MO
coxcollege.edu|Cox College|MO
cranbrookart.edu|Cranbrook Academy of Art|MI
creighton.edu|Creighton University|NE
criswell.edu|Criswell College|TX
crossroadscollege.edu|Crossroads College|MN
crc.edu|Crowley's Ridge College|AR
crown.edu|Crown College|MN
ciachef.edu|Culinary Institute of America|NY
culver.edu|Culver-Stockton College|MO
cumberland.edu|Cumberland University|TN
curry.edu|Curry College|MA
curtis.edu|Curtis Institute of Music|PA
hamilton.edu|Hamilton College|NY
hamline.edu|Hamline University|MN
hsc.edu|Hampden-Sydney College|VA
hampshire.edu|Hampshire College|MA
hamptonu.edu|Hampton University|VA
hlg.edu|Hannibal-Lagrange College|MO
hanover.edu|Hanover College|IN
hsutx.edu|Hardin-Simmons University|TX
harding.edu|Harding University|AR
harrington.edu|Harrington College of Design|IL
hssu.edu|Harris-Stowe State University|MO
harrisburgu.edu|Harrisburg University of Science & Technology|PA
hartsem.edu|Hartford Seminary|CT
hartwick.edu|Hartwick College|NY
harvard.edu|Harvard University|MA
haskell.edu|Haskell Indian Nations University|KS
hastings.edu|Hastings College|NE
haverford.edu|Haverford College|PA
hpu.edu|Hawaii Pacific University|HI
hazelden.org|Hazelden Graduate School of Addiction Studies|MN
hebrewcollege.edu|Hebrew College|MA
htc.edu|Hebrew Theological College|IL
huc.edu|Hebrew Union College-Jewish Institute of Religion|CA / OH / NY
heidelberg.edu|Heidelberg College|OH
hchc.edu|Hellenic College/Holy Cross Greek Orthodox School of Theology|MA
hsu.edu|Henderson State University|AR
hendrix.edu|Hendrix College|AR
heritage.edu|Heritage University|WA
herzing.edu|Herzing University|WI
highpoint.edu|High Point University|NC
hilbert.edu|Hilbert College|NY
hillsdale.edu|Hillsdale College|MI
hiram.edu|Hiram College|OH
hws.edu|Hobart & William Smith Colleges|NY
hsbc.edu|Hobe Sound Bible College|FL
hodges.edu|Hodges University|FL
hofstra.edu|Hofstra University|NY
hollins.edu|Hollins University|VA
holyapostles.edu|Holy Apostles College & Seminary|CT
hcc-nd.edu|Holy Cross College|IN
holyfamily.edu|Holy Family University|PA
hnu.edu|Holy Names University|CA
hood.edu|Hood College|MD
hope.edu|Hope College|MI
hiu.edu|Hope International University|CA
houghton.edu|Houghton College|NY
hbu.edu|Houston Baptist University|TX
hputx.edu|Howard Payne University|TX
howard.edu|Howard University|DC
hult.edu|Hult International Business School|MA
humboldt.edu|Humboldt State University|CA
humphreys.edu|Humphreys College|CA
huntingdon.edu|Huntingdon College|AL
huntington.edu|Huntington University|IN
husson.edu|Husson University|ME
htu.edu|Huston-Tillotson University|TX
kzoo.edu|Kalamazoo College|MI
kcai.edu|Kansas City Art Institute|MO
kcumb.edu|Kansas City University of Medicine & Biosciences|MO
k-state.edu|Kansas State University|KS
salina.ksu.edu|Kansas State University-Salina|KS
kwu.edu|Kansas Wesleyan University|KS
kaplanuniversity.edu|Kaplan University|IA
kean.edu|Kean University|NJ
keene.edu|Keene State College|NH
keiseruniversity.edu|Keiser University|FL
kendall.edu|Kendall College|IL
kcad.edu|Kendall College of Art & Design of Ferris State University|MI
kennesaw.edu|Kennesaw State University|GA
kenrick.edu|Kenrick-Glennon Seminary|MO
kent.edu|Kent State University|OH
ashtabula.kent.edu|Kent State University-Ashtabula Campus|OH
kent.edu/cpm|Kent State University-College of Podiatric Medicine|OH
columbiana.kent.edu|Kent State University-Columbiana County|OH
geauga.kent.edu|Kent State University-Geauga|OH
stark.kent.edu|Kent State University-Stark|OH
trumbull.kent.edu|Kent State University-Trumbull Campus|OH
tusc.kent.edu|Kent State University-Tuscarawas|OH
kcu.edu|Kentucky Christian University|KY
kmbc.edu|Kentucky Mountain Bible College|KY
kysu.edu|Kentucky State University|KY
kwc.edu|Kentucky Wesleyan College|KY
kenyon.edu|Kenyon College|OH
kc.edu|Kettering College|OH
kettering.edu|Kettering University|MI
keuka.edu|Keuka College|NY
keystone.edu|Keystone College|PA
king.edu|King College|TN
kings.edu|King's College|PA
tkc.edu|The King's College|NY
ksi.edu|Knowledge Systems Institute|IL
knox.edu|Knox College|IL
kutztown.edu|Kutztown University of Pennsylvania|PA
kuyper.edu|Kuyper College|MI
macalester.edu|Macalester College|MN
mac.edu|MacMurray College|IL
madonna.edu|Madonna University|MI
mum.edu|Maharishi University of Management|IA
meca.edu|Maine College of Art|ME
mainemaritime.edu|Maine Maritime Academy|ME
malone.edu|Malone University|OH
manchester.edu|Manchester University|IN
LI><A HREF="http://www.mccks.edu|Manhattan Christian College|KS
manhattan.edu|Manhattan College|NY
msmnyc.edu|Manhattan School of Music|NY
mville.edu|Manhattanville  College|NY
mansfield.edu|Mansfield University of Pennsylvania|PA
mbbc.edu|Maranatha Baptist Bible College|WI
mariacollege.edu|Maria College of Albany|NY
marian.edu|Marian University|IN
marianuniversity.edu|Marian University|WI
marietta.edu|Marietta College|OH
mcu.usmc.mil|Marine Corps University|VA
marist.edu|Marist College|NY
marlboro.edu|Marlboro College|VT
mu.edu|Marquette University|WI
mhc.edu|Mars Hill College|NC
marshall.edu|Marshall University|WV
mlc-wels.edu|Martin Luther College|MN
martinmethodist.edu|Martin Methodist College|TN
martin.edu|Martin University|IN
mbc.edu|Mary Baldwin College|VA
marygrove.edu|Marygrove College|MI
mica.edu|Maryland Institute College of Art|MD
muih.edu|Maryland University of Integrative Health|MD
marylhurst.edu|Marylhurst University|OR
marymountcalifornia.edu|Marymount California University|CA
mmm.edu|Marymount Manhattan College|NY
marymount.edu|Marymount University|VA
maryvillecollege.edu|Maryville College|TN
maryville.edu|Maryville University of Saint Louis|MO
marywood.edu|Marywood University|PA
massart.edu|Massachusetts College of Art & Design|MA
mcla.edu|Massachusetts College of Liberal Arts |MA
mcphs.edu|Massachusetts College of Pharmacy & Health Sciences|MA
web.mit.edu|Massachusetts Institute of Technology|MA
maritime.edu|Massachusetts Maritime Academy|MA
mslaw.edu|Massachusetts School of Law|MA
mspp.edu|Massachusetts School of Professional Psychology|MA
masters.edu|The Master's College|CA
tms.edu|The Master's Seminary|CA
maui.hawaii.edu" TARGET="_blank" CLASS="institution">Maui College|HI
mayo.edu/education|Mayo Clinic College of Medicine|MN
mayo.edu/mgs|Mayo Clinic College of Medicine-Graduate School|</LI>
mayo.edu/mms|Mayo Clinic College of Medicine-Medical School|</LI>
mayo.edu/mshs|Mayo Clinic College of Medicine-School of Health Sciences|</LI>
mayvillestate.edu|Mayville State University|ND
mccormick.edu|McCormick Theological Seminary|IL
mcdaniel.edu|McDaniel College|MD
mckendree.edu|McKendree University|IL
mcm.edu|McMurry University|TX
mcneese.edu|McNeese State University|LA
mcpherson.edu|McPherson College|KS
medaille.edu|Medaille College|NY
mcw.edu|Medical College of Wisconsin|WI
musc.edu|Medical University of South Carolina|SC
mmc.edu|Meharry Medical College|TN
mca.edu|Memphis College of Art|TN
memphisseminary.edu|Memphis Theological Seminary|TN
menlo.edu|Menlo College|CA
mercer.edu|Mercer University|GA
mercy.edu|Mercy College|NY
mchs.edu|Mercy College of Health Sciences|IA
mercycollege.edu|Mercy College of Northwest Ohio|OH
mercyhurst.edu|Mercyhurst College|PA
meredith.edu|Meredith College|NC
merrimack.edu|Merrimack College|MA
messiah.edu|Messiah College|PA
methodistcol.edu/methodistcollege|Methodist College|IL
mtso.edu|Methodist Theological School in Ohio|OH
methodist.edu|Methodist University|NC
mcny.edu|Metropolitan College of New York|NY
metrostate.edu|Metropolitan State University|MN
msudenver.edu|Metropolitan State University of Denver|CO
mghihp.edu|MGH Institute of Health Professions|MA
mdc.edu|Miami Dade College|FL
artinstitutes.edu/miami|Miami International University of Art & Design|FL
miamioh.edu|Miami University|OH
regionals.miamioh.edu|Miami University-Regional Campuses|OH
mispp.edu|Michigan School of Professional Psychology|MI
msu.edu|Michigan State University|MI
mtu.edu|Michigan Technological University|MI
mabts.edu|Mid-America Baptist Theological Seminary|TN
macu.edu|Mid-America Christian University|OK
macuniversity.edu|Mid-Atlantic Christian University|NC
mnu.edu|MidAmerica Nazarene University|KS
midcontinent.edu|Mid-Continent University|KY
mga.edu|Middle Georgia State College|GA
mtsa.edu|Middle Tennessee School of Anesthesia|TN
mtsu.edu|Middle Tennessee State University|TN
middlebury.edu|Middlebury College|VT
midlandu.edu|Midland University|NE
midstate.edu|Midstate College|IL
midway.edu|Midway College|KY
mbts.edu|Midwestern Baptist Theological Seminary|MO
midwestern.edu|Midwestern University|IL / AZ
mwsu.edu|Midwestern State University|TX
miles.edu|Miles College|AL
millercollege.edu|Miller College|MI
millersville.edu|Millersville University of Pennsylvania|PA
milligan.edu|Milligan College|TN
millikin.edu|Millikin University|IL
mills.edu|Mills College|CA
millsaps.edu|Millsaps College|MS
miad.edu|Milwaukee Institute of Art & Design|WI
msoe.edu|Milwaukee School of Engineering|WI
mnsu.edu|Minnesota State University-Mankato|MN
mnstate.edu|Minnesota State University-Moorhead|MN
minotstateu.edu|Minot State University|ND
mcad.edu|Minneapolis College of Art & Design|MN
misericordia.edu|Misericordia University|PA
mc.edu|Mississippi College|MS
msstate.edu|Mississippi State University|MS
muw.edu|Mississippi University for Women|MS
mvsu.edu|Mississippi Valley State University|MS
mobap.edu|Missouri Baptist University|MO
mssu.edu|Missouri Southern State University|MO
missouristate.edu|Missouri State University|MO
mst.edu|Missouri University of Science & Technology|MO
moval.edu|Missouri Valley College|MO
missouriwestern.edu|Missouri Western State University|MO
mitchell.edu|Mitchell College|CT
molloy.edu|Molloy College|NY
monmouthcollege.edu|Monmouth College|IL
monmouth.edu|Monmouth University|NJ
monroecollege.edu|Monroe College|NY
montana.edu|Montana State University|MT
msubillings.edu|Montana State University-Billings|MT
msun.edu|Montana State University-Northern|MT
mtech.edu|Montana Tech of The University of Montana|MT
montclair.edu|Montclair State University|NJ
montreat.edu|Montreat College|NC
montserrat.edu|Montserrat College of Art|MA
moody.edu|Moody Bible Institute|IL
moore.edu|Moore College of Art & Design|PA
moravian.edu|Moravian College|PA
moreheadstate.edu|Morehead State University|KY
morehouse.edu|Morehouse College|GA
msm.edu|Morehouse School of Medicine|GA
morgan.edu|Morgan State University|MD
morningside.edu|Morningside College|IA
morris.edu|Morris College|SC
mtaloy.edu|Mount Aloysius College|PA
mountangelabbey.org/seminary|Mount Angel Seminary|OR
mccn.edu|Mount Carmel College of Nursing|OH
mtholyoke.edu|Mount Holyoke College|MA
mountida.edu|Mount Ida College|MA
mtmc.edu|Mount Marty College|SD
mtmary.edu|Mount Mary College|WI
mtmercy.edu|Mount Mercy University|IA
moc.edu|Mount Olive College|NC
msmc.edu|Mount Saint Mary College|NY
msmc.la.edu|Mount Saint Mary's College|CA
msmary.edu|Mount Saint Mary's University|MD
mvnu.edu|Mount Vernon Nazarene University|OH
mountwashington.edu|Mount Washington College|NH
mountainstate.edu|Mountain State University|WV) <I>(closed 01 January 2013)</I></LI>
muhlenberg.edu|Muhlenberg College|PA
multnomah.edu|Multnomah University|OR
murraystate.edu|Murray State University|KY
muskingum.edu|Muskingum University|OH
pace.edu|Pace University|NY
plu.edu|Pacific Lutheran University|WA
pnca.edu|Pacific Northwest College of Art|OR
pacificoaks.edu|Pacific Oaks College|CA
psr.edu|Pacific School of Religion|CA
puc.edu|Pacific Union College|CA
pacificu.edu|Pacific University|OR
pacifica.edu|Pacifica Graduate Institute|CA
paine.edu|Paine College|GA
pba.edu|Palm Beach Atlantic University|FL
palmbeachstate.edu|Palm Beach State College|FL
palmer.edu|Palmer College of Chiropractic|IA
paloaltou.edu|Palo Alto University|CA
prgs.edu|Pardee RAND Graduate School|CA
park.edu|Park University|MO
parker.edu|Parker University|TX
patten.edu|Patten University|CA
pqc.edu|Paul Quinn College|TX
paulsmiths.edu|Paul Smith's College|NY
peace.edu|Peace College|NC
peirce.edu|Peirce College|PA
pc.ctc.edu|Peninsula College|WA
pcad.edu|Pennsylvania College of Art & Design|PA
pacollege.edu|Pennsylvania College of Health Sciences|PA
pct.edu|Pennsylvania College of Technology|PA
psu.edu|Pennsylvania State University|PA
abington.psu.edu|Pennsylvania State University-Abington|PA
aa.psu.edu|Pennsylvania State University-Altoona|PA
br.psu.edu|Pennsylvania State University-Beaver|PA
bk.psu.edu|Pennsylvania State University-Berks|PA
brandywine.psu.edu|Pennsylvania State University-Brandywine|PA
law.psu.edu|Pennsylvania State University-Dickinson School of Law|PA
ds.psu.edu|Pennsylvania State University-DuBois|PA
psbehrend.psu.edu|Pennsylvania State University-Erie, The Behrend College|PA
fe.psu.edu|Pennsylvania State University-Fayette, The Eberly Campus|PA
sgps.psu.edu|Pennsylvania State University-Great Valley School of Graduate Professional Studies|PA
ga.psu.edu|Pennsylvania State University-Greater Allegheny|PA
hbg.psu.edu|Pennsylvania State University-Harrisburg|PA
hazleton.psu.edu|Pennsylvania State University-Hazleton|PA
lv.psu.edu|Pennsylvania State University-Lehigh Valley|PA
pennstatehershey.org|Pennsylvania State University-Milton S. Hershey Medical Center|PA
ma.psu.edu|Pennsylvania State University-Mont Alto|PA
nk.psu.edu|Pennsylvania State University-New Kensington|PA
sl.psu.edu|Pennsylvania State University-Schuylkill|PA
shenango.psu.edu|Pennsylvania State University-Shenango|PA
wb.psu.edu|Pennsylvania State University-Wilkes-Barre|PA
sn.psu.edu|Pennsylvania State University-Worthington Scranton|PA
yk.psu.edu|Pennsylvania State University-York|PA
pensacolastate.edu|Pensacola State College|FL
ptseminary.edu|Pentecostal Theological Seminary|TN
pepperdine.edu|Pepperdine University|CA
peru.edu|Peru State College|NE
pfeiffer.edu|Pfeiffer University|NC
pcom.edu|Philadelphia College of Osteopathic Medicine|PA
philau.edu|Philadelphia College of Textiles & Science|PA
philander.edu|Philander Smith College|AR
pgi.edu|Phillips Graduate Institute|CA
ptstulsa.edu|Phillips Theological Seminary|OK
pulf.org|Phillips University|OK) <I>(closed July 1998)</I></LI>
piedmont.edu|Piedmont College|GA
pmc.edu|Pine Manor College|MA
pittstate.edu|Pittsburg State University|KS
pts.edu|Pittsburgh Theological Seminary|PA
plymouth.edu|Plymouth State University|NH
pointloma.edu|Point Loma Nazarene University|CA
pointpark.edu|Point Park University|PA
point.edu|Point University|GA
polk.edu|Polk State College|FL
psm.edu|Ponce School of Medicine & Health Sciences|PR
pcj.edu|Pontifical College Josephinum|OH
pucpr.edu" TARGET="_blank" CLASS="institution">Pontificia Universidad Cat&oacute;lica de Puerto Rico|PR
pdx.edu|Portland State University|OR
post.edu|Post University|CT
pvamu.edu|Prairie View A&M University|TX
pratt.edu|Pratt Institute|NY
prescott.edu|Prescott College|AZ
presentation.edu|Presentation College|SD
ptsem.edu|Princeton Theological Seminary|NJ
princeton.edu|Princeton University|NJ
principiacollege.edu|Principia College|IL
presby.edu|Presbyterian College|SC
providence.edu|Providence College|RI
purdue.edu|Purdue University|IN
purduecal.edu|Purdue University-Calumet|IN
pnc.edu|Purdue University-North Central|IN
tech.purdue.edu/anderson|Purdue University College of Technology-Anderson/Muncie|IN
tech.purdue.edu/columbus|Purdue University College of Technology-Columbus/Greensburg|IN
tech.purdue.edu/indy|Purdue University College of Technology-Indianapolis|IN
tech.purdue.edu/kokomo|Purdue University College of Technology-Kokomo|IN
tech.purdue.edu/lafayette|Purdue University College of Technology-Lafayette|IN
tech.purdue.edu/newalbany|Purdue University College of Technology-New Albany|IN
tech.purdue.edu/richmond|Purdue University College of Technology-Richmond|IN
tech.purdue.edu/southbend|Purdue University College of Technology-South Bend/Elkhart|IN
shms.edu|Sacred Heart Major Seminary|MI
shst.edu|Sacred Heart School of Theology|WI
sacredheart.edu|Sacred Heart University|CT
sage.edu|The Sage Colleges|NY
svsu.edu|Saginaw Valley State University|MI
sau.edu|Saint Ambrose University|IA
sapc.edu|Saint Andrews Presbyterian College|NC
anselm.edu|Saint Anselm College|NH
sacn.edu|Saint Anthony College of Nursing|IL
staugustine.edu|Saint Augustine College|IL
st-aug.edu|Saint Augustine's University|NC
sbu.edu|Saint Bonaventure University|NY
stkate.edu|Saint Catherine University|MN
sccky.edu|Saint Catharine College|KY
scs.edu|Saint Charles Borromeo Seminary|PA
stcloudstate.edu|Saint Cloud State University|MN
stedwards.edu|Saint Edward's University|TX
sfc.edu|Saint Francis College|NY
sfmccon.edu|Saint Francis Medical Center College of Nursing|IL
francis.edu|Saint Francis University|PA
stgregoryseminary.edu|Saint Gregory the Great Seminary|NE
stgregorys.edu|Saint Gregory's University|OK
sjfc.edu|Saint John Fisher College|NY
sjvcs.edu|Saint John Vianney College Seminary|FL
sjca.edu|Saint John's College-Annapolis|MD
sjcsf.edu|Saint John's College-Santa Fe|NM
stjohnscollegespringfield.edu|Saint John's College|IL
stjohnsem.edu|Saint John's Seminary|CA
sjs.edu|Saint John's Seminary|MA
csbsju.edu|Saint John's University|MN
stjohns.edu|Saint John's University|NY
sjrstate.edu|Saint Johns River State College|FL
sjc.edu|Saint Joseph College|CT
sjasc.edu|Saint Joseph Seminary College|LA
saintjoe.edu|Saint Joseph's College|IN
sjcny.edu|Saint Joseph's College|NY
sjcme.edu|Saint Joseph's College of Maine|ME
dunwoodie.edu|Saint Joseph's Seminary|NY
sju.edu|Saint Joseph's University|PA
stlawu.edu|Saint Lawrence University|NY
saintleo.edu|Saint Leo University|FL
stlcop.edu|Saint Louis College of Pharmacy|MO
slu.edu|Saint Louis University|MO
saintlukescollege.edu|Saint Luke's College of Health Sciences|MO
stmartin.edu|Saint Martin's University|WA
stmarysem.edu|Saint Mary Seminary & Graduate School of Theology|OH
smwc.edu|Saint Mary-of-the-Woods College|IN
saintmarys.edu|Saint Mary's College|IN
stmarys-ca.edu|Saint Mary's College of California|CA
smcm.edu|Saint Mary's College of Maryland|MD
stmarys.edu|Saint Mary's Seminary & University|MD
smumn.edu|Saint Mary's University of Minnesota|MN
stmarytx.edu|Saint Mary's University|TX
saintmeinrad.edu|Saint Meinrad Seminary & School of Theology|IN
smcvt.edu|Saint Michael's College|VT
snc.edu|Saint Norbert College|WI
stolaf.edu|Saint Olaf College|MN
stpatricksseminary.org|Saint Patrick's Seminary & University|CA
spst.edu|Saint Paul School of Theology|MO
saintpaulsnet.com|Saint Paul's College|VA
saintpeters.edu|Saint Peter's University|NJ
spcollege.edu|Saint Petersburg College|FL
stac.edu|Saint Thomas Aquinas College|NY
stu.edu|Saint Thomas University|FL
stvincent.edu|Saint Vincent College|PA
svdp.edu|Saint Vincent de Paul Regional Seminary|FL
stvincentscollege.edu|Saint Vincent's College|CT
sxu.edu|Saint Xavier University|IL
salem.edu|Salem College|NC
salemu.edu|Salem International University|WV
salemstate.edu|Salem State University|MA
salisbury.edu|Salisbury University|MD
skc.edu|Salish Kootenai College|MT
salus.edu|Salus University|PA
salve.edu|Salve Regina University|RI
shsu.edu|Sam Houston State University|TX
samford.edu|Samford University|AL
samuelmerritt.edu|Samuel Merritt University|CA
sdcc.edu|San Diego Christian College|CA
sdsu.edu|San Diego State University|CA
sfai.edu|San Francisco Art Institute|CA
sfcm.edu|San Francisco Conservatory of Music|CA
sfsu.edu|San Francisco State University|CA
sfts.edu|San Francisco Theological Seminary|CA
sjcl.edu|San Joaquin College of Law|CA
sjsu.edu|San Jos&eacute; State University|CA
sanjuanbautista.edu|San Juan Bautista School of Medicine|PR
bismarck.sanfordhealth.org/collegeofnursing|Sanford College of Nursing|ND
scu.edu|Santa Clara University|CA
sfcollege.edu|Santa Fe College|FL
santafeuniversity.edu|Santa Fe University of Art & Design|NM
slc.edu|Sarah Lawrence College|NY
scad.edu|Savannah College of Art & Design|GA
savannahstate.edu|Savannah State University|GA
saybrook.edu|Saybrook University|CA
sit.edu|School for International Training|VT
saic.edu|School of the Art Institute of Chicago|IL
sva.edu|School of Visual Arts|NY
schreiner.edu|Schreiner University|TX
scripps.edu|Scripps Research Institute|CA
spu.edu|Seattle Pacific University|WA
seattleu.edu|Seattle University|WA
se-pr.edu|Seminario Evang&eacute;lico de Puerto Rico|PR
icseminary.edu|Seminary of the Immaculate Conception|NY
ssw.edu|Seminary of the Southwest|TX
seminolestate.edu|Seminole State College of Florida|FL
shu.edu|Seton Hall University|NJ
setonhill.edu|Seton Hill University|PA
shawuniversity.edu|Shaw University|NC
shawnee.edu|Shawnee State University|OH
su.edu|Shenandoah University|VA
shepherd.edu|Shepherd University|WV
sherman.edu|Sherman College of Chiropractic|SC
shimer.edu|Shimer College|IL
ship.edu|Shippensburg University of Pennsylvania|PA
shorter.edu|Shorter University|GA
siena.edu|Siena College|NY
sienaheights.edu|Siena Heights University|MI
sierranevada.edu|Sierra Nevada College|NV
sl.edu|Silver Lake College|WI
simmons.edu|Simmons College|MA
sintegleska.edu|Sinte Gleska University|SD
simpsonu.edu|Simpson University|CA
simpson.edu|Simpson College|IA
sfseminary.edu|Sioux Falls Seminary|SD
suagm.edu|Sistema Universitario Ana G. M&eacute;ndez|PR
suagm.edu/une|Universidad del Este|</LI>
suagm.edu/umet|Universidad Metropolitana|</LI>
suagm.edu/turabo|Universidad del Turabo|</LI>
sittingbull.edu|Sitting Bull College|ND
skidmore.edu|Skidmore College|NY
sru.edu|Slippery Rock University of Pennsylvania|PA
smith.edu|Smith College|MA
sofia.edu|Sofia University|CA
soka.edu|Soka University of America|CA
somerset.edu|Somerset Christian College|NJ
sonoma.edu|Sonoma State University|CA
sdc.edu|Soujourner-Douglass College|MD
scsu.edu|South Carolina State University|SC
southcollegetn.edu|South College|TN
sdsmt.edu|South Dakota School of Mines & Technology|SD
sdstate.edu|South Dakota State University|SD
sfbc.edu|South Florida Bible College & Theological Seminary|FL
southflorida.edu|South Florida State College|FL
sgsc.edu|South Georgia State College|GA
stcl.edu|South Texas College of Law|TX
southuniversity.edu|South University|GA
semo.edu|Southeast Missouri State University|MO
sebts.edu|Southeastern Baptist Theological Seminary|NC
sebc.edu|Southeastern Bible College|AL
seu.edu|Southeastern University|FL
selu.edu|Southeastern Louisiana University|LA
se.edu|Southeastern Oklahoma State University|OK
southern.edu|Southern Adventist University|TN
saumag.edu|Southern Arkansas University|AR
sbts.edu|Southern Baptist Theological Seminary|KY
scco.edu|Southern California College of Optometry|CA
sciarc.edu|Southern California Institute of Architecture|CA
scuhs.edu|Southern California University of Health Sciences|CA
sco.edu|Southern College of Optometry|TN
southernct.edu|Southern Connecticut State University|CT
siuc.edu|Southern Illinois University-Carbondale|IL
siue.edu|Southern Illinois University-Edwardsville|IL
siu.edu|Southern Illinois University System|IL
smu.edu|Southern Methodist University|TX
snu.edu|Southern Nazarene University|OK
snhu.edu|Southern New Hampshire University|NH
sou.edu|Southern Oregon University|OR
spsu.edu|Southern Polytechnic State University|GA
subr.edu|Southern University and A&M College at Baton Rouge|LA
suno.edu|Southern University at New Orleans|LA
susla.edu|Southern University at Shreveport|LA
sus.edu|Southern University System|LA
suu.edu|Southern Utah University|UT
svc.edu|Southern Vermont College|VT
svu.edu|Southern Virginia University|VA
swu.edu|Southern Wesleyan University|SC
sbuniv.edu|Southwest Baptist University|MO
scnm.edu|Southwest College of Naturopathic Medicine & Health Sciences|AZ
smsu.edu|Southwest Minnesota State University|MN
suva.edu|Southwest University of Visual Arts|AZ
swau.edu|Southwestern Adventist University|TX
sagu.edu|Southwestern Assemblies of God University|TX
swbts.edu|Southwestern Baptist Theological Seminary|TX
swcc.edu|Southwestern Christian College|TX
swcu.edu|Southwestern Christian University|OK
sckans.edu|Southwestern College|KS
swc.edu|Southwestern College|NM
swosu.edu|Southwestern Oklahoma State University|OK
southwestern.edu|Southwestern University|TX
spalding.edu|Spalding University|KY
spelman.edu|Spelman College|GA
spertus.edu|Spertus Institute of Jewish Studies|IL
arbor.edu|Spring Arbor University|MI
shc.edu|Spring Hill College|AL
spfldcol.edu|Springfield College|MA
stanford.edu|Stanford University|CA
scf.edu|State College of Florida, Manatee-Sarasota|FL
suny.edu|State University of New York System|NY
albany.edu|Albany|</LI>
alfredstate.edu|Alfred State University|</LI>
binghamton.edu|Binghamton|</LI>
buffalo.edu|Buffalo|</LI>
buffalostate.edu|Buffalo State College|</LI>
stonybrook.edu|Stony Brook|</LI>
brockport.edu|College at Brockport|</LI>
cortland.edu|College at Cortland|</LI>
fredonia.edu|College at Fredonia|</LI>
geneseo.edu|College at Geneseo|</LI>
newpaltz.edu|College at New Paltz|</LI>
oldwestbury.edu|College at Old Westbury|</LI>
oneonta.edu|College at Oneonta|</LI>
oswego.edu|College at Oswego|</LI>
plattsburgh.edu|College at Plattsburgh|</LI>
potsdam.edu|College at Potsdam|</LI>
purchase.edu|College at Purchase|</LI>
cobleskill.edu|College of Agriculture & Technology at Cobleskill|</LI>
morrisville.edu|College of Agriculture & Technology at MorrisvilleMorrisville State College)|</LI>
esf.edu|College of Environmental Science & Forestry|</LI>
sunyopt.edu|College of Optometry|</LI>
canton.edu|College of Technology at Canton|</LI>
delhi.edu|College of Technology at Delhi|</LI>
downstate.edu|Downstate Medical Center|</LI>
esc.edu|Empire State College|</LI>
farmingdale.edu|Farmingdale State College|</LI>
